libcmpiutil: 0.5.7
libdaemon: fail
libcomps: 0.1.21
libcmis: 0.6.2
libdb: 5.3.28
libconfig: 1.7.3
libcdr: 0.1.7
libcli: 1.10.7
libchewing: 0.8.4
libdap: 3.21.0
libdbi-drivers: 0.9.0
libcroco: 0.6.13
libdbusmenu: 16.4.0
libconfini: 1.16.4
libdatrie: 0.2.13
libdazzle: 3.44.0
libdbi: fail
libdeflate: 1.20
libdc1394: fail
libdnet: 1.18.0
libdnf: 0.73.1
libdrm: fail
libdvdnav: fail
libeasyfc: fail
libdwarf: 0.9.2
libdvdread: fail
libdmx: fail
libffi: 3.4.6
libedit: fail
libecb: 0.9.2
libesmtp: 1.1.0
libexif: 0.6.24
libevent: 2.1.12
libgit2: 1.8.1
libgphoto2: fail
libgcrypt: fail
libfontenc: fail
libgpg-error: fail
libgexiv2: fail
libgit2-glib: fail
libgee06: fail
libgeotiff: fail
libgdiplus: fail
libgssglue: fail
libgsf: fail
libgta: fail
libepoxy: fail
libecap: fail
libeot: fail
libell: fail
libepubgen: fail
libetonyek: fail
libestr: fail
libEMF: fail
libevdev: fail
libev: fail
libglade2: fail
libexttextcat: fail
libgovirt: fail
libftdi: fail
libglvnd: fail
libfreehand: fail
libgee: fail
libfastjson: fail
libgdither: fail
libfabric: fail
libgadu: fail
libhugetlbfs: 2.24
libhangul: 0.1.0
libguestfs: 1.53.2
libical: 3.0.18
libid3tag: fail
libgusb: 0.4.9
libgudev: 238
libICE: 1.0
liblerc: fail
libiothsm-std: fail
libindicator: fail
libgxim: fail
libibcommon: fail
libicns: fail
libieee1284: 1284.0.2.11.3
libiscsi: 1.20.0
libimobiledevice: 1.3.0
libIDL: fail
libkml: 1.3.0
liblouis: 3.30.0
libiec61883: 61883.1.2.0
libjpeg-turbo: 3.0.3
libipt: 2.1.1
libgxps: 0.3.2
libjcat: 0.2.1
libksba: 1.6.6
libkcapi: 1.5.0
libisoburn: 1.5.6
liblqr-1: fail
libkkc-data: fail
libkkc: 0.3.5
libmemcached-awesome: 9.2
libldb: fail
libinput: 2.76
liblangtag: 0.4.0
liblzf: fail
libmad: fail
libiodbc: 3.52.7
libisofs: fail
liblogging: 1.0.6
libldm: 0.2.5
libiptcdata: 1.0.5
libidn2: 2.3.2
libmaxminddb: 1.10.0
libmbim: 1.26.2
liblockfile: 1.17
libmetalink: 0.1.3
libkeepalive: fail
libmediaart: 1.9.6
liblognorm: 2.0.6
libnet: 1.3
libmtp: 1.1.21
libnetfilter_conntrack: fail
libmspub: fail
libnetfilter_cttimeout: fail
libnbd: fail
libmodulemd1: fail
libmodplug: fail
libmnl: fail
libnetfilter_cthelper: fail
libnfs: fail
libnl3: fail
libndp: fail
libnotify: fail
libnetfilter_queue: fail
libntlm: fail
libofa: fail
libnftnl: fail
libnsl2: fail
libnvidia-container: fail
libnetfilter_log: fail
libnfnetlink: fail
liboil: fail
libmpc: fail
libopenraw: fail
liboauth: fail
libosinfo: fail
libnvme: fail
libomp: fail
liboping: fail
liboggz: fail
libotf: fail
libogg: fail
libodfgen: fail
libpaper: fail
libnumbertext: fail
libpciaccess: fail
libmodulemd: fail
libmikmod: fail
libpeas: fail
libpcap: fail
libmicrohttpd: fail
libomxil-bellagio: fail
libpagemaker: fail
libotr: fail
libmspack: fail
libmpcdec: fail
libmodman: fail
libmusicbrainz5: fail
libmwaw: fail
libpinyin: 2.8.1
libpng15: fail
libpng: 1.6.32
libplist: 2.6.0
LibRaw: 0.21.2
libpsl: 0.21.5
libpwquality: 1.4.5
libproxy: 0.5.6
libreswan: 5.0
libpsm2: fail
libpng12: fail
libqxp: 0.0.2
libsndfile: 1.2.2
libsass: fail
libpfm: 4.13.0
libSM: fail
libpipeline: 1.2.4
libqb: 2.0.8
librepo: 1.17.1
librabbitmq: 2.0.0
libreport: 2.17.15
libraw1394: fail
librdkafka: 2.4.0
librsync: 2.3.4
libqmi: 1.30.8
libraqm: 0.10.1
libpmemobj-cpp: 1.11.1
librelp: 1.11.0
libsamplerate: fail
libsafec: fail
librevenge: fail
librx: fail
libseccomp: fail
librsvg2: fail
libsemanage: fail
libselinux: fail
libsigc++20: fail
libsecret: fail
libsigc++30: fail
libsigsegv: fail
libsodium: fail
libsmi: fail
libsmbios: fail
libserf: fail
libsolv: fail
libsepol: fail
libsrtp: fail
libspiro: fail
libsoup: fail
libslirp: fail
libtalloc: fail
libstoragemgmt: 1.10.0
libstemmer: fail
libtasn1: fail
libtevent: fail
libssh: 1.11.0
libteam: 1.32
libstaroffice: 0.0.7
libtirpc: fail
libvirt: 10.4.0
libuv: 1.48.0
libusb: 1.0.27
libtdb: 1.4.8.0.1
libtiff: fail
libssh2: 1.11.0
libtar: 1.2.20
libunwind: 1.8.1
libvisual: 0.4.2
libtomcrypt: 1.18.2
libtool: fail
libtranslit: fail
libthai: fail
libucil: fail
libtpms: fail
libtommath: fail
libtracecmd: fail
libtraceevent: fail
libunicap: fail
libuninameslist: fail
libtracefs: fail
libusbmuxd: fail
libvirt-dbus: fail
libutempter: fail
libunistring: fail
liburing: fail
libvirt-glib: fail
libuser: fail
libvpx: fail
libverto: fail
libvisio: fail
libvdpau: fail
libvirt-java: fail
libva: fail
libvorbis: fail
libwacom: fail
libvoikko: fail
libvarlink: fail
libvirt-python: fail
libtheora: fail
libtnc: fail
libwmf: 0.2.13
libwpg: fail
libwebp: 1.4.0
libwpd: fail
libwpe: 1.16.0
libwvstreams: fail
libXaw: fail
libXau: fail
libxml++: fail
libwnck3: fail
libXdmcp: fail
libxcb: 1.17.0
libxfce4util: 4.19.3
libwps: 0.4.14
libXcursor: fail
libXcomposite: fail
libXdamage: fail
libxcrypt: 4.4.36
libXft: fail
libxkbcommon: 1.7.0
libXfont2: 4.3
libXinerama: fail
libxslt: 1.1.39
libxml2: 2.12.7
libXext: fail
libxklavier: fail
libXrender: fail
libxmlb: 0.3.19
libXScrnSaver: fail
libXi: 0.1.5
libxkbfile: fail
libXfixes: fail
libXt: fail
libXv: fail
libXrandr: fail
libXpm: 3.5.12
libXmu: fail
libXxf86vm: fail
lilv: 0.24.24
libzip: 1.10.1
libxshmfence: fail
libyubikey: fail
libXtst: fail
libyang: 2.2.8
libzmf: 0.0.2
libyaml: 0.2.5
linux-firmware: 20190514
libX11: 1.8.4
libXres: fail
libyami: 1.3.2
lmdb: 0.9.31
lldpd: 1.0.18
logrotate: 3.22.0
luajit: 2.1
lzop: fail
lua: 5.4.6
lynx: 0.2.1
lv2: 1.18.10
lm-sensors: 3.6.0
lz4: 1.9.4
lpsolve: fail
logwatch: fail
lrzsz: fail
logrus: fail
lttng-consume: fail
lshw: fail
lsb-release: fail
lttng-ust: fail
ltrace: fail
lksctp-tools: fail
lldpad: fail
lujavrite: fail
lua-lpeg: fail
lua-term: fail
lua-expat: fail
lua-lunit: fail
lttng-tools: fail
lsscsi: fail
lsof: fail
lutok: fail
m17n-db: fail
ltp: fail
luksmeta: fail
lua-filesystem: fail
lua-json: fail
lvm2: fail
lzo: fail
lldb: fail
lzip: fail
linuxptp: fail
llvm: fail
lockdev: fail
linuxconsoletools: fail
log4j12-mini: fail
m17n-lib: fail
m2crypto: fail
local-path-provisioner: fail
m4: fail
lld: fail
log4cpp: fail
mailcap: fail
makedumpfile: 1.7.5
mailx: fail
mac-robber: fail
malaga-suomi-voikko: fail
malaga: fail
make: 0.1.0
mandoc: fail
man-pages-ko: fail
mallard-rng: 9.2
man-db: 0.6
man-pages-cs: fail
man-pages-it: fail
maven-javadoc-plugin-bootstrap: fail
man-pages-ja: fail
man-pages-ru: fail
memcached: 1.6.28
mdadm: fail
